artist,year,month_day,auction house,seller,seller/artwork,purchaser,pounds,shillings,pence,
"HALL, Oliver",1912,5/3/2016,Christie's,,J.A.Harvey. 68. Pont Rouge. 37^X47,Tooth,105,0,0,
"HALLE, Noel",1883,6/2/2016,Christie's,,E. F. Pellew. (958 P.) 114. Fete Champetre (and Compj,Denison,199,10,0,
"HALLE, Noel",1901,7/13/2016,Christie's,,--24. Girl with a Dove. 28 x 23,A. Wertheiimer,252,0,0,
"HALLE, Noel",1902,7/5/2016,Christie's,,86. Cupids Sporting. A pair. 63 x 27,Stobell,262,10,0,
"HALS, Frank",1773,2/18/2016,Langford's,,Michael Leigh. 18. Man and Woman Smoking and Drinking,—,—,,,
"HALS, Frank",1773,3/31/2016,Langford's,,"James West, P.R.S. 49. His own Portrait",—,—,,,
"HALS, Frank",1775,3/4/2016,Langford's,,5. His own Portrait,—,—,,,
"HALS, Frank",1781,3/24/2016,Christie & Ansell,,From Abroad. 24. Children at Play,—,—,,,
"HALS, Frank",1781,3/31/2016,Mr. Squibb,,Robert Ansell. 69. Gamester,—,—,,,
"HALS, Frank",1783,5/8/2016,G. R'm.KingSt.,,Mr. Bertels. 20. A Nose Concert.—Humorous,—,—,,,
"HALS, Frank",1783,5/8/2016,G. R'm.KingSt.,,Mr. Bertels. 39. Old Woman admiring Owl. Engraved as Betsy of Haarlem,—,—,,,
"HALS, Frank",1786,4/8/2016,Com. At Christie's,," Noel Desenfans. 341. A Dutchman. 36 x 30, outside frame",—,12,12,0,
"HALS, Frank",1786,4/8/2016,Com. At Christie's,,"Noel Desenfans. 342. A Dutchman. 36 x 30, outside frame",—,—,,,
"HALS, Frank",1790,2/13/2016,Mr. Christie,,Peter Deline. 12. Portrait of Van Huthuysen,—,—,,,
"HALS, Frank",1790,2/20/2016,Greenwood,,59. A Merry Andrew,—,—,,,
"HALS, Frank",1790,3/6/2016,Mr. Christie,,Dr. Charlton of Bath. 54. Youth with his Hat on. Panel,—,—,,,
"HALS, Frank",1790,3/12/2016,Greenwood,,Gentleman. 72. A Shepherd Boy,—,—,,,
"HALS, Frank",1791,6/2/2016,Mr. Christie,,European Museum. 84. Socrates,—,—,,,
"HALS, Frank",1791,6/2/2016,Mr. Christie,,European Museum. 85. Old Woman opening Oysters,—,—,,,
"HALS, Frank",1791,,Private Sale,,"R. Cosway, R. A. 69. Head of a Shepherd Boy",—,—,,,
"HALS, Frank",1795,3/12/2016,Mr. Christie,,Sir J. Reynolds. 22. Man's Portrait—Humorous,—,12,16,0,
"HALS, Frank",1795,3/12/2016,Mr. Christie,,Sir J. Reynolds. 23. Lady's Portrait,—,3,3,0,
"HALS, Frank",1795,3/13/2016,Mr. Christie,,Sir J. Reynolds. 21. A Man,—,4,14,6,
"HALS, Frank",1795,3/13/2016,Mr. Christie,,Sir J. Reynolds. 71. Gentleman's Portrait,—,6,6,0,
"HALS, Frank",1795,3/28/2016,Skinner,,C. A. Calonne. 3. A Young Lady,—,—,,,
"HALS, Frank",1798,5/9/2016,H. Phillips,,Sir J. Reynolds. 21. A Lady,—,—,,,
"HALS, Frank",1801,2/5/2016,Mr. Christie,,Earl of Bessborough. 50. A Lady. Portrait,—,12,1,6,
"HALS, Frank",1801,5/22/2016,"Coxe,Bur'l&Co.",,Griffier Fagel. 32. Children at Cards,—,31,10,0,
"HALS, Frank",1801,5/22/2016,"Coxe,Bur'l&Co.",,Griffier Fagel. 33. Children teazing a Kitten,—,18,18,0,
"HALS, Frank",1813,5/31/2016,Peter Coxe,,John W. Willett. 6. Man in a Ruff,—,11,11,0,
"HALS, Frank",1821,5/18/2016,Mr. Christie,,Lady Thomond. 21. A Lady,Jackson,3,3,0,
"HALS, Frank",1826,5/20/2016,Phillips,,Count Pourtales. 69. Two Girls and a Boy Playing Cards,—,—,,,
"HALS, Frank",1835,5/23/2016,Christie's,,Sir James Stuart. 60. Johannes Hoornbeeck. Engr. by Suyderhoff,—,—,,,
"HALS, Frank",1874,2/7/2016,Christie's,,Sir Richard Frederick. 85. David Teniers. 1644,Brooks,735,0,0,
"HALS, Frank",1874,5/2/2016,Christie's,,William Twopeny. 39. -,M. Colnaghi,357,0,0,
"HALS, Frank",1876,4/6/2016,Christie's,,"Albert Levy. 338. Dutch Burgomaster, iojx 8}",Watson,157,10,0,
"HALS, Frank",1876,4/6/2016,Christie's,,Albert Levy. 340. The Singer. 23x19!,M. Colnaghi,262,10,0,
"HALS, Frank",1876,4/6/2016,Christie's,,Albert Levy. 341. Portrait. 27x24. W. Twopeny Coll.,M. Colnaghi,262,10,0,
"HALS, Frank",1876,4/6/2016,Christie's,,Albert Levy. 343. Baron Falkenstein,Agnew,299,5,0,
"HALS, Frank",1876,4/7/2016,Christie's,,William Rixon. 66. Lady in Black Dress. Dated 1644,Warneck,399,0,0,
"HALS, Frank",1877,3/17/2016,Christie's,,Nobleman. 104. Boy with a Bubble,Ross,105,0,0,
"HALS, Frank",1884,5/3/2016,Christie's,,Albert Levy. 26. The Fiddler,Grindley,115,10,0,
"HALS, Frank",1885,5/9/2016,Christie's,,"S. Herman de Zoete. 230. Man, Black Dress and Ruff. R.A. and Manchester 1857. 44 x 37",M. Colnaghi,189,0,0,
"HALS, Frank",1885,5/9/2016,Christie's,,"S. Herman de Zoete. (299 V.) 232. Man, Black Dress and Gloves 44x35",M. Colnaghi,367,10,0,
"HALS, Frank",1887,7/2/2016,Christie's,,James Whatman. 11. A Cavalier—Lady and Dog,Noseda,194,0,0,
"HALS, Frank",1888,5/12/2016,Christie's,,"Col. Everett. 33. Portrait of Van Goyen, Wife, and Child",—,367,10,0,
"HALS, Frank",1889,7/13/2016,Christie's,,"Rev. Robert Gwilt. 78. Lady in Black, with Fan. 30 x 23",Agnew,1680,0,0,
"HALS, Frank",1889,7/13/2016,Christie's,,Rev. Robert Gwilt. 79. A Burgomaster. 32 x 26,Agnew,567,0,0,
"HALS, Frank",1890,3/17/2016,Christie's,,Earl of Buckinghamshire. 131. Gentleman with Long Hair. 43 x 34,Agnew,1995,0,0,
"HALS, Frank",1890,6/21/2016,Christie's,,Sir Lewis Jarvis. 35. The Artist's Wife in Pink Apron. 38^x31,M. Colnaghi,1837,10,0,
"HALS, Frank",1891,2/28/2016,Christie's,,"- 95. Gentleman, Arm on Chair. 29-i x 23",Barnes,493,10,0,
"HALS, Frank",1891,6/15/2016,Christie's,,Miss James. 30. Cornelius Niedwagen. i6]-xi2?r,Colnaghi,451,10,0,
"HALS, Frank",1891,6/15/2016,Christie's,,Miss James. 31. Johannes Hoornbeeck. 12x9?,Colnaghi,241,10,0,
"HALS, Frank",1892,3/12/2016,Christie's,,Earl of Clancarty. 32. Gentleman holding a Book. 1630,Lesser,735,0,0,
"HALS, Frank",1893,2/25/2016,Christie's,,"- 77. The Smoker, with Jug",Hertz,152,0,0,
"HALS, Frank",1893,6/24/2016,Christie's,,H. Bingham Mildmay. 21. William van Heythuysen. 18^x11,6J Geoffrey,189,0,0,
"HALS, Frank",1894,3/17/2016,Christie's,,D. P. Sellar. 104. A Man. 35* x 25J,M. Colnaghi,325,10,0,
"HALS, Frank",1894,6/9/2016,Christie's,,129. Boor in Red Cap and Jacket,Shepherd,103,9,0,
